id;fecha;valor;variacion;fuente;created_at
205;20230301;29161.04;-0.14;archivo_dat;2026-01-05 08:23:29
206;20230302;29023.45;-0.47;archivo_dat;2026-01-05 08:23:29
207;20230303;29035.8;0.04;archivo_dat;2026-01-05 08:23:29
208;20230306;28767.34;-0.92;archivo_dat;2026-01-05 08:23:29
209;20230307;28791.45;0.08;archivo_dat;2026-01-05 08:23:29
210;20230308;28717.55;-0.26;archivo_dat;2026-01-05 08:23:29
211;20230309;28701.6;-0.06;archivo_dat;2026-01-05 08:23:29
212;20230310;29088.04;1.35;archivo_dat;2026-01-05 08:23:29
213;20230313;29998.04;3.13;archivo_dat;2026-01-05 08:23:29
214;20230314;30166.35;0.56;archivo_dat;2026-01-05 08:23:29
215;20230315;29762.34;-1.34;archivo_dat;2026-01-05 08:23:29
216;20230316;29364.89;-1.34;archivo_dat;2026-01-05 08:23:29
217;20230317;28833.84;-1.81;archivo_dat;2026-01-05 08:23:29
218;20230320;29513.85;2.36;archivo_dat;2026-01-05 08:23:29
219;20230321;29479.16;-0.12;archivo_dat;2026-01-05 08:23:29
220;20230322;28842.1;-2.16;archivo_dat;2026-01-05 08:23:29
221;20230323;28837.32;-0.02;archivo_dat;2026-01-05 08:23:29
222;20230324;29098.65;0.91;archivo_dat;2026-01-05 08:23:29
223;20230327;28946.24;-0.52;archivo_dat;2026-01-05 08:23:29
224;20230328;29030.16;0.29;archivo_dat;2026-01-05 08:23:29
225;20230329;29038.63;0.03;archivo_dat;2026-01-05 08:23:29
226;20230330;29483.1;1.53;archivo_dat;2026-01-05 08:23:29
227;20230331;29025.46;-1.55;archivo_dat;2026-01-05 08:23:29
228;20230403;28695.26;-1.14;archivo_dat;2026-01-05 08:23:29
229;20230404;28876.78;0.63;archivo_dat;2026-01-05 08:23:29
230;20230405;29088.16;0.73;archivo_dat;2026-01-05 08:23:29
231;20230410;28575.85;-1.76;archivo_dat;2026-01-05 08:23:29
232;20230411;28965.82;1.36;archivo_dat;2026-01-05 08:23:29
233;20230412;28600.16;-1.26;archivo_dat;2026-01-05 08:23:29
234;20230413;28615.27;0.05;archivo_dat;2026-01-05 08:23:29
235;20230414;28114.73;-1.75;archivo_dat;2026-01-05 08:23:29
236;20230417;28289.42;0.62;archivo_dat;2026-01-05 08:23:29
237;20230418;28377.87;0.31;archivo_dat;2026-01-05 08:23:29
238;20230420;28508.77;0.46;archivo_dat;2026-01-05 08:23:29
239;20230421;29556.3;3.67;archivo_dat;2026-01-05 08:23:29
240;20230424;29782.84;0.77;archivo_dat;2026-01-05 08:23:29
241;20230425;30005.99;0.75;archivo_dat;2026-01-05 08:23:29
242;20230426;30256.67;0.84;archivo_dat;2026-01-05 08:23:29
243;20230427;30460.62;0.67;archivo_dat;2026-01-05 08:23:29
244;20230428;30682.11;0.73;archivo_dat;2026-01-05 08:23:29
245;20230502;31610.62;3.03;archivo_dat;2026-01-05 08:23:29
